"HABITAT","TOTAL_AREA"
"1340",1287601.10748628
"2330",7217959.53455142
"3130",13686928.5932486
"3140",244536.60588596
"3150",64143078.6135943
"3160",294784.4217351
"3220",142898.31846841
"3230",133661.66749089
"3240",701329.39271513
"3260",47911687.065977
"3270",510980.9960845
"4030",13879423.9347417
"4060",6380673.94117331
"4070",13092037.18485
"4080",374253.00814615
"40A0",493266.44149499
"5130",4120306.48198888
"6110",564758.16679394
"6150",8431330.47327736
"6190",3245780.62839639
"6210",134602742.150537
"6210p",9199992.24717232
"6230",103383644.430443
"6240",2755256.12137619
"6250",566902.9119944
"6260",978966.76574267
"6410",74571796.9797105
"6430",90214211.4643443
"6440",12276904.8385065
"6510",1752092171.09871
"6520",151974183.349101
"7110",7553410.93270595
"7120",9630053.04155485
"7140",53212586.3846672
"7150",201767.68156879
"7210",32159.42503543
"7220",294823.987887
"7230",490365.68694577
"8110",1841299.78452097
"8150",851796.43111698
"8160",258176.36834456
"8210",1791793.58051675
"8220",68087561.7779054
"8230",842479.10737422
"8310",17709.59333619
"9110",1376312319.29555
"9130",1316067174.47025
"9140",5092381.33993622
"9150",11540811.6271536
"9170",1662860795.01353
"9180",177201124.140546
"9190",94390461.2289348
"91D0",143108724.969701
"91E0",897944072.043615
"91F0",243687818.540809
"91G0",104089471.559073
"91H0",9508435.95081197
"91I0",68728747.7448015
"91T0",1865717.31039586
"91U0",3350478.92541132
"9410",770321937.266528
