habitat_code,TD,QUAL,MINIMIAREAL,MOZAIKA,CELISTVOST,KONEKTIVITA,REDLIST,INVASIVE,CONFLICT,
1340,6,6,6,6,6,6,,7,0,
2330,6,6,6,6,6,6,,7,0,
3130,6,6,6,6,6,6,,7,1,
3140,NA,NA,NA,NA,NA,NA,NA,NA,0,
3150,5,5,5,5,5,5,,7,1,
3160,5,5,5,5,5,5,,7,0,
3220,5,5,5,5,5,5,,7,0,
3230,6,6,6,6,6,6,,7,0,
3240,5,5,5,5,5,5,,7,0,
3260,5,5,5,5,5,5,,7,0,
3270,5,5,5,5,5,5,,7,0,
4030,5,5,5,5,5,5,,7,0,
4060,5,5,5,5,5,5,,7,0,
4070,5,5,5,5,5,5,,7,0,
4080,6,6,6,6,6,6,,7,1,
40A0,5,5,5,5,5,5,,7,1,
5130,5,5,5,5,5,5,,7,0,
6110,5,5,5,5,5,5,,7,0,
6150,5,5,5,5,5,5,,7,0,
6190,5,5,5,5,5,5,,7,0,
6210,5,5,5,5,5,5,,7,0,
6210p,5,5,5,5,5,5,,7,0,
6230,5,5,5,5,5,5,,7,0,
6240,5,5,5,5,5,5,,7,0,
6250,5,5,5,5,5,5,,7,0,
6260,5,5,5,5,5,5,,7,0,
6410,5,5,5,5,5,4,,7,0,
6430,4,4,4,4,4,4,,7,0,
6440,5,5,5,5,5,5,,7,0,
6510,5,5,5,5,5,4,,7,0,
6520,6,6,6,6,6,6,,7,0,
7110,5,5,5,5,5,5,,7,0,
7120,5,5,5,5,5,4,,7,0,
7140,5,5,5,5,5,5,,7,0,
7150,5,5,5,5,5,5,,7,0,
7210,6,6,6,6,6,6,,7,0,
7220,5,5,5,5,5,5,,7,0,
7230,5,5,5,5,5,5,,7,0,
8110,7,7,7,7,7,7,,7,0,
8150,5,5,5,5,5,4,,7,0,
8160,5,5,5,5,5,4,,7,0,
8210,5,5,5,5,5,4,,7,0,
8220,3,3,3,3,3,3,,7,1,gen
8220,6,6,6,6,6,6,,7,1,alp
8220,5,5,5,5,5,4,,7,1,alp
8230,5,5,5,5,5,5,,7,0,
9110,5,5,5,5,5,4,,7,0,
9130,5,5,5,5,5,4,,7,0,
9140,5,5,5,5,5,4,,7,0,
9150,5,5,5,5,5,4,,7,0,
9170,5,5,5,5,5,4,,7,0,
9180,5,5,5,5,5,4,,7,0,
9190,5,5,5,5,5,4,,7,0,
91D0,5,5,5,5,5,5,,7,1,
910E,5,5,5,5,5,4,,7,0,
91F0,5,5,5,5,5,4,,7,0,
91G0,5,5,5,5,5,4,,7,0,
91H0,5,5,5,5,5,5,,7,0,
91I0,5,5,5,5,5,4,,7,0,
91T0,NA,NA,NA,NA,NA,NA,NA,NA,0,
91U0,5,5,5,5,5,5,,7,0,
9410,5,5,5,5,5,5,,7,0,
