"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE_P1a","POP_P1b","HABLOS_P3","PRED_P4","REPRO_P2","DRY_P5","VEG_P6","CHYTRI_P7","ZASTIN_P8","OVERALL","SUFFICIENT"
"CZ0213783","CZ0213783","Felbabka","Bombina variegata",1,NA,1,1,1,1,NA,1,1,0.5,0
"CZ0213822","CZ0213822","V Hlinišťatech","Bombina variegata",1,NA,1,1,1,1,NA,1,NA,0.5,0
"CZ0323162","CZ0323162","Přeštice - V Hlinkách","Bombina variegata",1,NA,1,1,1,1,1,1,NA,0.5,0
"CZ0323478","CZ0323478","Třebýcinka u Bezděkova","Bombina variegata",1,NA,1,1,1,1,1,1,NA,0.5,0
"CZ0713385","CZ0713385","mokřad Písečná, asi totožné s Psci","Bombina variegata",1,NA,1,1,1,1,NA,1,NA,0.5,0
"CZ0713398","CZ0713398_1","Soustava tůní za severní hrází jezera","Bombina variegata",1,NA,1,1,1,1,1,1,NA,0.5,0
"CZ0713398","CZ0713398_2","Mašterova tůň - 2020","Bombina variegata",1,NA,1,1,1,1,1,1,NA,0.5,0
"CZ0713398","CZ0713398_3","Poldův rybník","Bombina variegata",1,NA,1,1,1,1,1,1,NA,0.5,0
"CZ0713398","CZ0713398_4","Zlaté jezero","Bombina variegata",0,0,1,1,1,1,1,1,NA,0,0
"CZ0713827","CZ0713827_1","Starý rybník u soutoku","Bombina variegata",0,0,1,1,1,1,1,1,NA,0,0
"CZ0713827","CZ0713827_10","Nová tůň nad Kaolínkou - u Latzelovy kaple a kaluže na LC","Bombina variegata",1,NA,1,1,1,1,1,1,NA,0.5,0
"CZ0713827","CZ0713827_11","jezírko v lese nad  Kaolínkou","Bombina variegata",0,0,1,1,1,1,0,1,NA,0,0
"CZ0713827","CZ0713827_12","tůň pod Latzlovou kaplí","Bombina variegata",1,NA,1,1,1,1,1,1,NA,0.5,0
"CZ0713827","CZ0713827_13","vyjeté koleje na lesní cestě nad Kaolínkou","Bombina variegata",0,0,1,1,1,1,1,1,NA,0,0
"CZ0713827","CZ0713827_14","Nová tůň SILEZIKA 2021 - U Latzelovy kaple","Bombina variegata",1,NA,1,1,1,1,1,1,NA,0.5,0
"CZ0713827","CZ0713827_2","Pramen v poli","Bombina variegata",1,NA,1,1,1,1,0,1,NA,0.5,0
"CZ0713827","CZ0713827_3","Nová tůň SILEZIKA v oboře - Rokliny","Bombina variegata",1,NA,1,1,1,1,1,1,NA,0.5,0
"CZ0713827","CZ0713827_4","lom Malé Rokliny I.","Bombina variegata",0,0,1,1,1,1,1,1,NA,0,0
"CZ0713827","CZ0713827_5","Malý lom","Bombina variegata",0,0,1,1,1,1,1,1,NA,0,0
"CZ0713827","CZ0713827_6","mokřina u odbočky k poli","Bombina variegata",0,0,1,1,1,1,1,1,NA,0,0
"CZ0713827","CZ0713827_7","lom Nad soutokem","Bombina variegata",0,0,1,1,1,1,1,1,NA,0,0
"CZ0713827","CZ0713827_8","vyjetá kolej nad dubovým mostem","Bombina variegata",0,0,1,1,1,1,1,1,NA,0,0
"CZ0713827","CZ0713827_9","tůňky před Kaolínkou","Bombina variegata",1,NA,1,1,1,1,1,1,NA,0.5,0
"CZ0724089","CZ0724089_1","Ptáčnice - u jezera","Bombina variegata",1,NA,1,1,1,1,0,1,1,0.5,0
"CZ0724089","CZ0724089_12","","Bombina variegata",NA,NA,1,1,1,1,NA,1,NA,NA,NA
"CZ0724089","CZ0724089_13","","Bombina variegata",NA,NA,1,1,1,1,NA,1,NA,NA,NA
"CZ0724089","CZ0724089_16","","Bombina variegata",NA,NA,1,1,1,1,NA,1,NA,NA,NA
"CZ0724089","CZ0724089_27","Karolinka-pod Stanovnicí","Bombina variegata",1,NA,1,1,1,1,1,1,1,0.5,0
"CZ0724089","CZ0724089_28","Malá Hanzlůvka","Bombina variegata",1,NA,1,1,1,1,NA,1,1,0.5,0
"CZ0724089","CZ0724089_7","Dušná u červených","Bombina variegata",1,NA,1,0,1,1,1,1,1,0.5,0
"CZ0724089","CZ0724089_8","Tůně Babská","Bombina variegata",0,NA,1,1,1,1,0,1,1,0,0
"CZ0724089","CZ0724089_9","Slovačica","Bombina variegata",1,NA,1,1,1,1,0,1,1,0.5,0
"CZ0814093","CZ0814093","Hraniční meandry Odry","Bombina variegata",0,0,1,1,1,1,1,1,NA,0,0
