"SITECODE","NAZEV","DRUH","PRESENCE","ABUNDANCE","MICROSITE","CHANGE1","CHANGE2","POTENTIAL","PLANTCOV","EXPCOV","SHADECOV","MANAGEMENT","TARGET_MON","OVERALL","SUFFICIENT","TOTAL_SITES","SUFFICIENT_PERC","ID_ND_NALEZ","LAST_TARGET_MON","LAST_FIND"
"CZ0214045","Prameny Klíčavy","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0314023","Třeboňsko - střed","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0314024","Šumava","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0314109","Ruda","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0314637","Rašeliniště u Suchdola","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0315002","Dolejší rybník","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0315005","Řežabinec","Hamatocaulis vernicosus",1,1,1,1,1,1,1,0,1,1,1,8,0,1,0,"52587281",2020-06-16,2020-06-16
"CZ0325001","Hrádecká bahna","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0325002","Hůrky","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0514042","Jestřebsko - Dokesko","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0514113","Podtrosecká údolí","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0515001","Červený rybník","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0525001","Bažiny","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0525002","Řeřišný u Machova","Hamatocaulis vernicosus",1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,"52587282",2020-10-30,2020-10-30
"CZ0534054","Hubský-Strádovka","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0534055","Ratajské rybníky","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0614054","Na Oklice","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0614056","V Lisovech","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0614059","Štíří důl - Řeka","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0615014","Louky u Černého lesa","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0615018","Šimanovské rašeliniště","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
"CZ0815031","Skalské rašeliniště","Hamatocaulis vernicosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"",NA,NA
